File #,Box,Total,Location,API,Operator,Lease,Well #,Sec,Tw,TwD,Rg,RgD,Quarter,Latitude,Longitude,County,State,Formation,Field,Top,Bottom,Type,Box Type,Condition,Diameter,Restrictions,Comments,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
755,1,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,76.8,79.5,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,2,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,79.5,82.5,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,3,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,82.5,85.3,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,4,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,85.3,91.5,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,5,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,91.5,94,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,6,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,94,97.3,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,7,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,97.3,99.5,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,8,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,99.5,102,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,9,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,102,105.5,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,10,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,105.5,108.7,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,11,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,108.7,111.5,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,12,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,111.5,114,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,13,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,114,117,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,14,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,117,119.3,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,15,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,119.3,122.8,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,16,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,122.8,125.1,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,17,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,125.1,127.6,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,18,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,127.6,130.5,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,19,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,130.5,132.8,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,20,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,132.8,136,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,21,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,136,138.9,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,22,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,138.9,142,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,23,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,142,144.8,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,24,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,144.8,147.5,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,25,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,147.5,150.8,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,26,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,150.8,154,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,27,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,154,158.4,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,28,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,158.4,162,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,29,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,162,166.8,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,30,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,166.8,169.8,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,31,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,169.8,173.7,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,32,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,173.7,176.3,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,33,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,176.3,179.7,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,34,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,179.7,182.6,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,35,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,182.6,185.2,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,36,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,185.2,188.5,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,37,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,188.5,193.8,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,38,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,193.8,196.2,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
755,39,39.0,,,U S Government,Missle Site,AL-4,36.0,1.0,S,18.0,W,NE,,,Tillman,OK,Hennssey,,196.2,199.7,Whole/Rubble,Butt Box,Good/Poor,3.5,,,,,,,,,
1253,1,12.0,,,Shell,Goddard Core Hole,1,21.0,2.0,N,15.0,E,,,,Pittsburg,OK,Jackfork,,39,42,Whole,Butt Box,,2,,,,,,,,,
1253,2,12.0,,,Shell,Goddard Core Hole,1,21.0,2.0,N,15.0,E,,,,Pittsburg,OK,Jackfork,,48,,Whole,Butt Box,,2,,May Be 2 Rows Per Box,,,,,,,
1253,3,12.0,,,Shell,Goddard Core Hole,1,21.0,2.0,N,15.0,E,,,,Pittsburg,OK,Jackfork,,,57,Whole,Butt Box,,2,,May Be 2 Rows Per Box,,,,,,,
1253,4,12.0,,,Shell,Goddard Core Hole,1,21.0,2.0,N,15.0,E,,,,Pittsburg,OK,Jackfork,,79,82,Whole,Butt Box,,2,,May Be 2 Rows Per Box,,,,,,,
1253,5,12.0,,,Shell,Goddard Core Hole,1,21.0,2.0,N,15.0,E,,,,Pittsburg,OK,Jackfork,,100,104,Whole,Butt Box,,2,,May Be 2 Rows Per Box,,,,,,,
1253,6,12.0,,,Shell,Goddard Core Hole,1,21.0,2.0,N,15.0,E,,,,Pittsburg,OK,Jackfork,,188,,Whole,Butt Box,,2,,May Be 2 Rows Per Box,,,,,,,
1253,7,12.0,,,Shell,Goddard Core Hole,1,21.0,2.0,N,15.0,E,,,,Pittsburg,OK,Jackfork,,,,Whole,Butt Box,,2,,May Be 2 Rows Per Box,,,,,,,
1253,8,12.0,,,Shell,Goddard Core Hole,1,21.0,2.0,N,15.0,E,,,,Pittsburg,OK,Jackfork,,,,Whole,Butt Box,,2,,May Be 2 Rows Per Box,,,,,,,
1253,9,12.0,,,Shell,Goddard Core Hole,1,21.0,2.0,N,15.0,E,,,,Pittsburg,OK,Jackfork,,,211,Whole,Butt Box,,2,,May Be 2 Rows Per Box,,,,,,,
1253,10,12.0,,,Shell,Goddard Core Hole,1,21.0,2.0,N,15.0,E,,,,Pittsburg,OK,Jackfork,,279,283,Whole,Butt Box,,2,,May Be 2 Rows Per Box,,,,,,,
1253,11,12.0,,,Shell,Goddard Core Hole,1,21.0,2.0,N,15.0,E,,,,Pittsburg,OK,Jackfork,,317,320,Whole,Butt Box,,2,,May Be 2 Rows Per Box,,,,,,,
1253,12,12.0,,,Shell,Goddard Core Hole,1,21.0,2.0,N,15.0,E,,,,Pittsburg,OK,Jackfork,,367,369,Whole,Butt Box,,2,,May Be 2 Rows Per Box,,,,,,,
1254,1,7.0,,,Shell,Roberson Core Hole,1,27.0,2.0,N,3.0,E,,,,Murray,OK,Oil Creek,,1125,,Whole,Butt Box,,2,,May Be 2 Rows Per Box,,,,,,,
1254,2,7.0,,,Shell,Roberson Core Hole,1,27.0,2.0,N,3.0,E,,,,Murray,OK,Oil Creek,,,,Whole,Butt Box,,2,,May Be 2 Rows Per Box,,,,,,,
