File #,Box,Total,Location,API,Operator,Lease,Well #,Sec,Tw,TwD,Rg,RgD,Quarter,Latitude,Longitude,County,State,Formation,Field,Top,Bottom,Type,Box Type,Condition,Diameter,Restrictions,Comments,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
14,1,19.0,,See Comments,Conoco,Main Tank Farm LPG # 7,1A,33.0,26.0,N,2.0,E,S2 S2 N2,See,Comments,Kay,OK,Permian,,180,190,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
14,2,19.0,,See Comments,Conoco,Main Tank Farm LPG # 7,1A,33.0,26.0,N,2.0,E,S2 S2 N2,See,Comments,Kay,OK,Permian,,195,205,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
14,3,19.0,,See Comments,Conoco,Main Tank Farm LPG # 7,1A,33.0,26.0,N,2.0,E,S2 S2 N2,See,Comments,Kay,OK,Permian,,205,215,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
14,4,19.0,,See Comments,Conoco,Main Tank Farm LPG # 7,1A,33.0,26.0,N,2.0,E,S2 S2 N2,See,Comments,Kay,OK,Permian,,215,225,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
14,5,19.0,,See Comments,Conoco,Main Tank Farm LPG # 7,1A,33.0,26.0,N,2.0,E,S2 S2 N2,See,Comments,Kay,OK,Permian,,225,235,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
14,6,19.0,,See Comments,Conoco,Main Tank Farm LPG # 7,1A,33.0,26.0,N,2.0,E,S2 S2 N2,See,Comments,Kay,OK,Permian,,235,245,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
14,7,19.0,,See Comments,Conoco,Main Tank Farm LPG # 7,1A,33.0,26.0,N,2.0,E,S2 S2 N2,See,Comments,Kay,OK,Permian,,245,255,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
14,8,19.0,,See Comments,Conoco,Main Tank Farm LPG # 7,1A,33.0,26.0,N,2.0,E,S2 S2 N2,See,Comments,Kay,OK,Permian,,255,265,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
14,9,19.0,,See Comments,Conoco,Main Tank Farm LPG # 7,1A,33.0,26.0,N,2.0,E,S2 S2 N2,See,Comments,Kay,OK,Permian,,265,275,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
14,10,19.0,,See Comments,Conoco,Main Tank Farm LPG # 7,1A,33.0,26.0,N,2.0,E,S2 S2 N2,See,Comments,Kay,OK,Permian,,279,289,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
14,11,19.0,,See Comments,Conoco,Main Tank Farm LPG # 7,1A,33.0,26.0,N,2.0,E,S2 S2 N2,See,Comments,Kay,OK,Permian,,289,299,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
14,12,19.0,,See Comments,Conoco,Main Tank Farm LPG # 7,1A,33.0,26.0,N,2.0,E,S2 S2 N2,See,Comments,Kay,OK,Permian,,299,309,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
14,13,19.0,,See Comments,Conoco,Main Tank Farm LPG # 7,1A,33.0,26.0,N,2.0,E,S2 S2 N2,See,Comments,Kay,OK,Permian,,319,337,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
14,14,19.0,,See Comments,Conoco,Main Tank Farm LPG # 7,1A,33.0,26.0,N,2.0,E,S2 S2 N2,See,Comments,Kay,OK,Permian,,337,347,Whole,Slim Slab Box,,2,,No API / This core is from an underground LPG storage facility / See OGS Notes Vol. 21 # 10 for complete report,,,,,,,
